/Users/zeno/Downloads/github/gminfo_resources/research/scripts/ghidra_rh850/vipboot/s11_residue.py:8: DeprecationWarning: open_program() is deprecated, use open_project() and program_context() or program_loader() instead.
  with pyghidra.open_program(
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::staticFieldOffset has been called by org.apache.felix.framework.util.SecureAction (file:/Users/zeno/ghidra_12.1.2_PUBLIC/Ghidra/Features/Base/lib/org.apache.felix.framework-7.0.5.jar)
WARNING: Please consider reporting this to the maintainers of class org.apache.felix.framework.util.SecureAction
WARNING: sun.misc.Unsafe::staticFieldOffset will be removed in a future release
total gaps: 372 total bytes: 4785

=== all gaps (addr,len,hex) ===
0x6a5b9 0x6a8f9 len=833 0004200000405abdfec4cfbdfee4d0bdfecccfbdfe64d2bdfea4cebdfeaccebd
0x8324a 0x8324b len=2 1b36
0x83622 0x83623 len=2 63ef
0x83b66 0x83b67 len=2 3567
0x83c28 0x83c29 len=2 39af
0x83e62 0x83e63 len=2 2106
0x83eb2 0x83eb3 len=2 2106
0x83f26 0x83f27 len=2 2106
0x83f3a 0x83f3b len=2 630f
0x83f66 0x83f67 len=2 2106
0x83f7a 0x83f7b len=2 630f
0x840fa 0x840fb len=2 3dc7
0x84122 0x84123 len=2 3dc7
0x841fe 0x841ff len=2 3bc7
0x84210 0x84211 len=2 3bc7
0x8422a 0x8422b len=2 3bc7
0x850f6 0x850f7 len=2 0bd6
0x86074 0x86075 len=2 0117
0x860da 0x860db len=2 0117
0x86148 0x86149 len=2 0117
0x861b6 0x861b7 len=2 0117
0x86228 0x86229 len=2 0117
0x86296 0x86297 len=2 0117
0x86304 0x86305 len=2 0117
0x86372 0x86373 len=2 0117
0x863d8 0x863d9 len=2 0117
0x8643e 0x8643f len=2 0117
0x864ac 0x864ad len=2 0117
0x8651a 0x8651b len=2 0117
0x86588 0x86589 len=2 0117
0x865f6 0x865f7 len=2 0117
0x86664 0x86665 len=2 0117
0x866d2 0x866d3 len=2 0117
0x86740 0x86741 len=2 0117
0x867ae 0x867af len=2 0117
0x868a6 0x868a7 len=2 8647
0x869d4 0x869d5 len=2 a307
0x86d0c 0x86d0d len=2 a307
0x86d18 0x86d19 len=2 494e
0x8732c 0x8732d len=2 235f
0x87f8c 0x87f8d len=2 230f
0x8868e 0x8868f len=2 23e7
0x899f6 0x899f7 len=2 3cf7
0xf22 0xf22 len=1 00
0x18b6 0x18b6 len=1 00
0x18bb 0x18bb len=1 00
0x29d3 0x29d3 len=1 00
0x2c4e 0x2c4e len=1 00
0x68dea 0x68dea len=1 00
0x6aaac 0x6aaac len=1 00
0x6ab06 0x6ab06 len=1 00
