addr	type	name	size
0x200900	NOTYPE	..lin.7a18032c..983d594a.0_103	0
0x200914	NOTYPE	..lin.7a18032c..983d594a.0_104	0
0x20091c	NOTYPE	..lin.7a18032c..983d594a.0_105	0
0x200924	NOTYPE	..lin.7a18032c..983d594a.0_106	0
0x200942	NOTYPE	..lin.7a18032c..983d594a.0_107	0
0x200959	NOTYPE	..lin.7a18032c..983d594a.0_108	0
0x20096e	NOTYPE	..lin.7a18032c..983d594a.0_109	0
0x200970	NOTYPE	..lin.7a18032c..983d594a.0_110	0
0x200970	FUNC	ASP_WasResumedFromRam	10
0x200979	NOTYPE	..lin.7a18032c..f5b96dbc.0_111	0
0x20097a	FUNC	ASP_ReturnToRAM	66
0x200995	NOTYPE	..lin.7a18032c..9ca9000b.0_112	0
0x2009a9	NOTYPE	..lin.7a18032c..9ca9000b.0_113	0
0x2009ba	NOTYPE	..lin.7a18032c..9ca9000b.0_114	0
0x2009bc	FUNC	CheckForSpeculationControls...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	208
0x2009d7	NOTYPE	..lin.7a18032c..6225b1c5.0_115	0
0x2009f6	NOTYPE	..lin.7a18032c..6225b1c5.0_116	0
0x200a10	NOTYPE	..lin.7a18032c..6225b1c5.0_117	0
0x200a20	NOTYPE	..lin.7a18032c..6225b1c5.0_118	0
0x200a29	NOTYPE	..lin.7a18032c..6225b1c5.0_119	0
0x200a39	NOTYPE	..lin.7a18032c..6225b1c5.0_120	0
0x200a67	NOTYPE	..lin.7a18032c..6225b1c5.0_121	0
0x200a89	NOTYPE	..lin.7a18032c..6225b1c5.0_122	0
0x200a8c	FUNC	InitializeRegisterMap...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	416
0x200a91	NOTYPE	..lin.7a18032c..8e3d18da.0_123	0
0x200a95	NOTYPE	..lin.7a18032c..8e3d18da.0_124	0
